Feature,Missing_Percentage
CementEnergyUse,99.94856848962797
RevenueFromEnvironmentalProducts,99.94856848962797
CementCO2EquivalentsEmission,99.91428081604663
FleetFuelConsumption,99.82856163209325
ESGFleetCO2Emissions,99.72569861134922
LabeledWoodPercentage,99.12566432367565
EnvironmentalRAndDExpendituresToRevenues,98.93708211897822
FlaringGasesToRevenues,98.62849305674611
AgrochemicalProducts,98.52563003600206
InternalCarbonPricePerTonne,98.35419166809531
PolicyFairTradeFlag,97.87416423795645
CommunityLendingAndInvestments,97.8398765643751
EthicalTradingInitiativeEti,97.80558889079376
WaterPollutantEmissionsToRevenues,97.53128750214299
EmployeeHealthAndSafetyTrainingHours,97.49699982856164
OzoneDepletingSubstancesToRevenues,97.25698611349219
NuclearProduction,97.10269158237614
DiseasesOfTheDevelopingWorld,96.87982170409738
RenewableEnergySupply,96.81124635693467
AccidentalSpillsToRevenues,96.62266415223726
ExecutivesCulturalDiversity,95.83404765986627
ProductSalesAtDiscountToEmergingMarkets,95.69689696554089
OccupationalDiseases,95.45688325047146
ExtractiveIndustriesTransparencyInitiative,95.28544488256472
RealEstateSustainabilityCertifications,95.02828733070461
EmployeesWithDisabilities,94.82256128921652
CustomerSatisfaction,94.53111606377507
CriticalCountry1,94.34253385907766
QmsCertifiedPercent,94.1196639807989
SustainableBuildingProducts,93.87965026572948
SupplyChainHealthAndSafetyImprovements,92.09669123949939
TrainingCostsPerEmployee,91.97668438196467
WaterRecycled,90.87947882736157
VocEmissionsToRevenues,90.33087605006
GenderPayGapPercentage,89.6794102520144
WaterTechnologies,89.42225270015429
HybridVehicles,88.53077318703926
FossilFuelDivestmentPolicy,87.82787587862163
EnvironmentalAssetsUnderManagement,87.69072518429624
PolicyResponsibleMarketing,87.36499228527344
EquatorPrinciplesOrEnvironmentalProjectFinancing,87.17641008057603
OrganicProductsInitiatives,86.81638950797188
NoiseReduction,86.54208811932111
LostDaysToTotalDays,86.33636207783302
EmployeeSatisfaction,85.9591976684382
EmsCertifiedPercent,85.9591976684382
LandEnvironmentalImpactReduction,85.47917023829933
HealthyFoodOrProducts,83.69621121206926
SOxEmissionsToRevenues,83.079033087605
LitigationExpensesToRevenues,83.06188925081433
NOxEmissionsToRevenues,82.13612206411794
SelfReportedEnvironmentalFinesToRevenues,81.38179324532831
HivAidsProgram,78.21018343905367
ProductAccessLowPrice,77.90159437682154
BoardCulturalDiversityPercent,72.92988170752615
RenewableEnergyUseRatio,71.38693639636551
AverageTrainingHours,70.82118978227328
